Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
2046.a3.txt,0.0165,0.0081,0.0079,0.0034,0,1,0
2047.a3.txt,0.0165,0.0094,0.0071,0.0039,0,0,0
2048.a3.txt,0.02,0.0094,0.0069,0.0031,7,3,3
2049.a3.txt,0.0214,0.0117,0.0091,0.0052,0,3,1
2050.a3.txt,0.0186,0.0085,0.0064,0.003,2,1,1
2055.a3.txt,0.0186,0.0106,0.005,0.0029,3,0,0
2056.a3.txt,0.0154,0.0092,0.0041,0.0055,3,4,0
2057.a3.txt,0.0166,0.0107,0.0074,0.0045,5,0,6
2058.a3.txt,0.0176,0.01,0.0055,0.0056,3,2,2
2059.a3.txt,0.0168,0.0088,0.006,0.003,7,4,7
2060.a3.txt,0.0168,0.0093,0.0055,0.0037,0,6,6
2061.a3.txt,0.0182,0.0106,0.0058,0.0049,7,2,0
2062.a3.txt,0.0142,0.0101,0.005,0.0034,0,0,0
2063.a3.txt,0.0148,0.009,0.0035,0.0022,0,0,0
2064.a3.txt,0.0162,0.0068,0.0049,0.0027,2,4,2
2065.a3.txt,0.013,0.0077,0.0029,0.0029,0,0,5
2066.a3.txt,0.0138,0.0078,0.0037,0.0026,0,1,0
2067.a3.txt,0.0142,0.0094,0.0047,0.0026,1,1,0
2069.a3.txt,0.0146,0.0104,0.0047,0.005,0,0,0
2071.a3.txt,0.0125,0.0082,0.0036,0.0034,0,0,1
2074.a3.txt,0.0154,0.0086,0.0059,0.0041,5,8,5
2075.a3.txt,0.0146,0.0099,0.0066,0.0046,0,12,0
3001.a3.txt,0.016,0.0101,0.005,0.0033,0,1,0
3003.a3.txt,0.0254,0.0118,0.0103,0.0042,0,1,0
3013.a3.txt,0.0115,0.0097,0.005,0.0037,4,0,0
3015.a3.txt,0.0175,0.0091,0.0095,0.0052,0,0,1
3018.a3.txt,0.0176,0.0118,0.0056,0.0046,0,4,0
3020.a3.txt,0.0115,0.0069,0.0045,0.0029,1,3,1
3023.a3.txt,0.016,0.0099,0.0034,0.0046,2,2,1
3026.a3.txt,0.0127,0.0105,0.0047,0.003,3,0,2
3037.a3.txt,0.0288,0.0144,0.0116,0.0071,8,0,6
3040.a3.txt,0.0162,0.0108,0.0064,0.0059,5,0,0
3041.a3.txt,0.0153,0.0101,0.0065,0.0038,1,0,7
3042.a3.txt,0.0113,0.01,0.0048,0.0049,1,1,1
3044.a3.txt,0.0162,0.0087,0.0056,0.0032,2,17,7
3062.a3.txt,0.0241,0.0104,0.0083,0.0059,3,0,1
3063.a3.txt,0.0179,0.0092,0.0049,0.0054,1,1,1
3065.a3.txt,0.017,0.0102,0.0065,0.003,1,0,0
3067.a3.txt,0.017,0.011,0.0074,0.0045,5,0,1
3072.a3.txt,0.024,0.0113,0.0062,0.0057,3,1,2
4001.a3.txt,0.0149,0.0085,0.0076,0.0066,2,0,1
4002.a3.txt,0.0191,0.0079,0.0053,0.0044,2,1,3
4003.a3.txt,0.0162,0.0093,0.007,0.0049,4,0,0
4004.a3.txt,0.0161,0.0101,0.0047,0.0039,2,4,0
4005.a3.txt,0.0178,0.0091,0.005,0.0039,2,0,0
